A0,A1,B0,B1,Irrelevant,Correlated
3.662365455624421173e-01,3.544715663944296158e-01,3.654882377979993269e-01,3.575636481009169532e-01,6.134337161628168004e-04,7.583851526674983100e-03
3.574811220237488762e-01,3.653867394278020875e-01,3.700810564391935342e-01,3.628222362078911134e-01,6.754040886483631510e-03,4.869783442268137835e-03
3.560045296939062243e-01,3.700948278389625257e-01,3.754680894878305586e-01,3.426209332536082064e-01,4.017013327173094873e-03,1.721365710540178479e-02
3.467247255103888537e-01,3.476219727578483965e-01,3.673426451363644984e-01,3.561460551453707879e-01,3.385445835510404733e-03,8.095492010693030802e-03
3.523292768126010110e-01,3.550078759760462721e-01,4.235173253759428880e-01,3.578262010279434358e-01,1.822244934478976504e-04,9.542655337535219107e-03
3.403642062026666637e-01,3.452350381675640123e-01,4.205955012017444372e-01,3.662928657313848646e-01,7.123360837491952979e-03,1.040168920972186183e-02
3.446402610864571781e-01,3.603244357331434888e-01,4.157916015527139963e-01,3.814011717428300030e-01,9.579043813185712103e-03,5.549238009668794151e-03
3.419976619498560910e-01,3.522740852573605363e-01,4.238438358995030852e-01,3.548170092748738069e-01,2.583367719175731162e-03,1.250179154264707652e-02
3.487413504172364731e-01,3.492835176820801024e-01,3.598673590224538144e-01,4.295876271563013882e-01,1.437415290541662477e-02,1.550453678127024400e-02
3.634518440418053609e-01,3.407092513119221455e-01,3.536398174994389021e-01,4.310461243003546605e-01,9.388643857624067585e-03,1.251006251601776776e-03
3.362628223329128252e-01,3.462620093273723332e-01,3.760185657281824301e-01,4.205627003715123879e-01,4.859547047775995485e-03,5.038956833189619545e-03
3.486951579912966337e-01,3.523826404690809655e-01,3.621891988956716935e-01,4.265086068126577312e-01,3.507607278532225321e-03,2.414275382321690033e-02
3.156216942024293592e-01,3.454842720975535575e-01,4.146455698887001606e-01,4.155414839506272884e-01,9.978915525500503016e-04,4.765318734414622157e-03
3.465592848590425268e-01,3.566305645797916424e-01,4.155991431404211234e-01,4.147916912642998222e-01,2.300427221114021044e-03,1.899233041804293878e-02
3.305142008645876039e-01,3.230284215318977581e-01,4.359501718974369555e-01,4.100608671609801692e-01,5.184552210152897946e-03,1.796443344309881646e-02
3.186562930707246277e-01,3.371397012477627131e-01,4.297842772658985178e-01,4.191594488807119934e-01,1.233225822652643869e-02,7.948124567963054179e-03
4.350581845742769738e-01,3.846616305593055229e-01,3.436260190814419690e-01,3.516492344289717242e-01,1.566957750329741120e-02,1.163403167015522252e-02
4.353048240164769100e-01,3.590100235122271055e-01,3.358691157437151964e-01,3.515364850115795248e-01,1.827427378411343104e-02,1.502945075679462845e-02
4.308996814646405271e-01,3.455811893149616787e-01,3.432834697336439866e-01,3.522326594994268367e-01,1.784552101244758684e-03,2.869519109395955465e-03
4.195806082693632200e-01,3.536492083313941270e-01,3.564246244102711181e-01,3.556699138280088879e-01,9.265825218761377172e-03,5.290164468048978025e-03
4.077882324439432438e-01,3.465956174003048118e-01,4.042069202802848760e-01,3.382181766272329138e-01,1.144435382945589198e-02,9.653434287799342317e-03
3.981040297555657470e-01,3.461024037877954984e-01,4.154967543154822751e-01,3.579542139031408055e-01,9.837998516276043326e-03,1.821292084513515723e-03
4.211974763205500460e-01,3.444662068372248420e-01,4.054927595443622024e-01,3.309954880258290100e-01,1.536056441288300442e-03,2.302290216410491502e-02
4.165188841429401378e-01,3.384956862481029449e-01,4.038499621875218937e-01,3.436599524040508391e-01,9.771427323231862347e-03,2.002549538844712942e-02
3.988408431432711176e-01,3.510400412787391122e-01,3.553176972338289441e-01,4.084542150683243000e-01,2.576180036468217732e-03,2.010317463174787767e-03
4.018848583122780482e-01,3.494201972629233377e-01,3.513937418840050730e-01,4.099316113911355419e-01,1.588368920694066197e-02,2.338697559166152008e-03
4.093466635233369844e-01,3.344569742974471960e-01,3.556463522283374035e-01,3.933762834892456928e-01,3.840159621635529617e-03,2.078955039560138537e-02
4.220380068951801178e-01,3.404995167703462333e-01,3.371947052120192745e-01,4.070727525401571234e-01,1.099069869307980375e-02,5.500904125080271698e-03
3.669674473306285267e-01,3.077455404498948277e-01,4.196198925840687877e-01,4.152069094017382667e-01,8.089679160665001062e-03,1.039274479104112733e-02
3.800782602010026046e-01,3.075098176651028803e-01,4.066487575185336323e-01,4.071999912133349997e-01,6.183175129394941766e-03,3.047435352587845887e-03
4.021981084969244447e-01,3.262589999277081820e-01,3.937976431872708960e-01,3.891090464034110963e-01,7.980630492134067932e-04,1.979099679877169282e-02
3.806412829998497283e-01,3.335872726634483421e-01,3.935399297591429257e-01,4.081235104786415380e-01,1.282783853708420810e-03,8.125012156701897151e-03
3.806153139423272824e-01,4.231899700266156250e-01,3.469821837761407068e-01,3.398009705016031279e-01,2.788146876589393114e-03,3.186232027433605080e-03
3.629501269251676487e-01,4.410665076252158756e-01,3.388493916589520594e-01,3.561711642616005036e-01,7.494781356817740992e-03,5.903305985866157124e-03
3.717546899782053216e-01,4.126329572224740616e-01,3.451047206980786819e-01,3.361291633948499946e-01,2.449145484978161699e-04,1.003727950471077629e-02
3.518902520657886668e-01,4.181255242643632797e-01,3.382467662739419012e-01,3.466853945014977678e-01,2.078049642630717085e-03,4.570830719779248041e-03
3.403227499375114928e-01,4.184034181531710028e-01,3.845431396432586468e-01,3.460064672552211062e-01,1.097169158972712694e-02,1.651393864487117440e-03
3.348803536348989307e-01,3.932326857969135059e-01,3.983016239649164736e-01,3.599901678601621358e-01,8.272890560574558752e-03,1.452339026663077709e-02
3.546538340826052571e-01,3.992018651346225244e-01,4.105962754805907444e-01,3.320993918847191528e-01,8.903619599499340564e-03,1.053569906819243254e-03
3.572544280869028310e-01,4.001453775667109802e-01,4.065788531997950317e-01,3.299336431380427426e-01,1.443895350132049296e-02,2.192515744705160301e-03
3.449082960232844886e-01,4.021707918730690334e-01,3.452947911494744782e-01,4.038373698758611074e-01,2.142067781952365288e-02,6.240053483078164889e-03
3.554533284068674970e-01,4.038688722007929832e-01,3.514705983645869947e-01,3.869464145492303997e-01,4.832243410711930566e-03,1.543043348610867622e-02
3.416605960080354443e-01,4.024834652774321175e-01,3.507013683289256778e-01,4.094961008030730820e-01,3.922909719914313524e-04,2.697952458732316336e-04
3.598266523581696852e-01,3.979813160683031703e-01,3.608020951423639988e-01,4.230334290092008787e-01,8.033977733972515883e-03,1.291567814561840957e-02
3.246456433243017359e-01,3.858289175170504515e-01,3.967673232682524809e-01,3.875290802577212035e-01,4.337962962991533632e-03,2.063275978989860884e-02
3.235233473843535656e-01,3.774371208293718083e-01,4.165340315838223506e-01,3.983161688509612719e-01,6.700461380583086967e-04,6.407526253543560472e-04
3.361162303513396399e-01,3.754913356448444928e-01,4.032508021625585415e-01,4.003003532357952698e-01,9.409647115432824907e-03,5.469459110874991779e-03
3.296428096736621627e-01,3.788619035677096014e-01,4.054115871359764700e-01,4.137216039488786912e-01,2.387950398947246127e-03,3.494098815663466626e-03
4.086690024397291454e-01,4.182155892814657938e-01,3.312059710577633931e-01,3.347888187001715199e-01,3.030391346487256322e-03,8.614262391341269854e-04
4.183939088015922181e-01,4.037387540560953836e-01,3.440410668807444838e-01,3.344828269070224125e-01,1.120286322818034655e-02,9.047501768315715847e-04
4.245338720626781193e-01,4.446737457021527340e-01,3.250638754722316448e-01,3.252405955869686616e-01,1.624835468628369264e-02,9.443979733535225532e-03
4.172027069729605242e-01,4.145940116968280242e-01,3.381478656899697399e-01,3.341989686923884095e-01,1.955366677527659025e-03,3.514662573220995404e-03
4.070764006592487161e-01,4.131533647723475422e-01,3.831606623976709924e-01,3.256257090341739269e-01,6.283921016231251190e-03,6.670844689057101734e-03
3.820335848297939374e-01,4.034227093509105688e-01,3.870562858993367716e-01,3.358614602664865001e-01,1.127387131650808838e-02,6.238781488627862665e-03
4.155157665489221386e-01,3.914774263302505108e-01,3.726617253825926790e-01,3.279773216242911071e-01,1.910961169876791363e-02,3.303170549223255221e-03
3.872611772094449178e-01,4.073164836983165782e-01,3.922550948957069239e-01,3.267897493765936079e-01,1.797114084656569995e-03,8.176476479398455191e-03
4.072185742119820984e-01,3.999394148589134335e-01,3.182429178400441039e-01,3.814073660785717301e-01,5.835529181297331204e-03,7.690231588440159076e-03
4.084689795505881960e-01,4.012355115190521793e-01,3.204979258002043085e-01,3.748312850691912224e-01,1.668431147131253789e-02,6.160678309550571101e-03
4.131018633051947164e-01,3.947330595014498789e-01,3.360600356018160761e-01,3.818943328066715104e-01,1.093871414186701682e-02,5.426106467396965734e-03
3.950379771373244142e-01,4.023796445646333764e-01,3.303606006039191967e-01,3.679379723592277052e-01,5.724676687576085200e-03,1.165369882682676730e-02
3.674524131247240422e-01,3.790501882578958259e-01,4.001393562228867662e-01,3.771218285199446352e-01,9.254861783657806693e-03,7.128212817264972800e-03
3.792996279133827309e-01,3.706467754789004032e-01,3.830479634985340387e-01,3.859637923240090696e-01,6.245015695803669484e-03,4.704183833971310215e-03
3.776208379779603663e-01,3.841359681796602810e-01,3.739699970806851237e-01,3.791046665502073587e-01,3.199315536174830114e-03,7.687673192587698295e-03
3.675078812428492214e-01,3.946668884421422607e-01,3.820531387141701263e-01,3.846302342779046035e-01,1.426791727754878712e-08,8.482861750242145712e-03
